Address,Latitude,Longitude,Price,Beds,Posted,Minimum_Cost,Maximum_Cost,Minimum_Beds,Maximum_Beds,Average_Cost,Area,Website,Rating,Cost_per_Person,Pet_friendly,Dish_washer_in_unit,Wahingmachine_in _unit,Parking,Wifi,water/electricity/trash management,Air_conditioning,Television,Fully_furnished,Distance_from_GIES(miles),Distance_from_iSchool(miles),Distance_from_Grainger(miles),Distance_from_CountyMarket,Latitude(gies),Longitude(gies),Latitude(ischool),Longitude(ischool),Latitude(eng),Longitude(eng),Latitude(countymarket),Longitude(countymarket)
" 1008 Kara Dr, Champaign,IL 61822 – Champaign   ",40.1260305,-88.2951503,775,2,Today,775,775,2,2,775,Apartments.com,Champaign,3,387.5,0,0,1,1,1,1,1,0,1,3.782427116,3.5945738,3.752072851,2.033645372,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 922 Kara Dr, Champaign,IL 61822 – Champaign   ",40.1256779,-88.2951374,775,2,Today,775,775,2,2,775,Apartments.com,Champaign,5,387.5,1,1,1,1,1,1,1,0,1,3.771899361,3.585409466,3.74468468,2.009273428,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 1001 Laura Dr, Champaign,IL 61822 – Champaign   ",40.1255521,-88.294609,775,2,Today,775,775,2,2,775,Apartments.com,Champaign,4,387.5,0,1,0,0,0,1,1,1,0,3.742852296,3.556212008,3.715455703,1.999893542,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 1103 Laura Dr, Champaign,IL 61822 – Champaign   ",40.1263749,-88.2947906,775,2,Today,775,775,2,2,775,Apartments.com,Champaign,3,387.5,0,0,0,0,1,1,1,1,1,3.774940958,3.585307856,3.740579426,2.056923988,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 910 Kara Dr, Champaign,IL 61822 – Champaign   ",40.1252932,-88.2951581,775,2,Today,775,775,2,2,775,Apartments.com,Champaign,4,387.5,1,1,0,1,0,1,0,1,0,3.762245179,3.577300983,3.738559167,1.982741772,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 906 Laura Dr, Champaign,IL 61822 – Champaign   ",40.1248543,-88.2938325,775,2,Today,775,775,2,2,775,Apartments.com,Champaign,5,387.5,1,0,1,0,1,1,0,1,0,3.685927319,3.50112968,3.662988607,1.951369812,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 905 Laura Dr, Champaign,IL 61822 – Champaign   ",40.1249237,-88.294372,775,2,Today,775,775,2,2,775,Apartments.com,Champaign,5,387.5,1,0,1,1,0,1,0,0,1,3.713991232,3.529573552,3.691747527,1.956293878,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 1005 Laura Dr, Champaign,IL 61822 – Champaign   ",40.1255836,-88.2946127,775,2,Today,775,775,2,2,775,Apartments.com,Champaign,5,387.5,1,1,1,1,1,1,0,0,0,3.743912407,3.557152003,3.716238938,2.002073149,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 1404 Myrtle Beach Ave, Champaign,IL 61822 – Champaign   ",40.130106,-88.306535,"1,790",3,Today,1790,1790,3,3,1790,Apartments.com,Champaign,3,596.6666667,1,0,1,0,0,1,0,0,1,4.446458382,4.257007526,4.409425209,2.408097539,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 4 Hedge Ct, Champaign,IL 61821 – Champaign   ",40.1298465,-88.2683106,900,3,Today,900,900,3,3,900,Apartments.com,Champaign,5,300,1,1,0,1,0,1,1,0,1,2.723376239,2.476462924,2.548480213,2.665768738,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 2908 W John St, Champaign,IL 61821 – Champaign   ",40.1095508,-88.2944144,875,2,Today,875,875,2,2,875,Apartments.com,Champaign,3,437.5,0,0,1,0,0,1,0,1,0,3.436774543,3.326948407,3.564962775,0.8943400924,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 754 Sedgegrass Dr, Champaign,IL 61822 – Champaign   ",40.123986,-88.3061684,"1,790",3,Today,1790,1790,3,3,1790,Apartments.com,Champaign,3,596.6666667,0,0,0,0,0,1,1,1,0,4.271579451,4.10330888,4.281962711,1.998797638,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 1619 Glenn Park Dr, Champaign,IL 61821 – Champaign   ",40.1190676,-88.2744403,999,2,Today,999,999,2,2,999,Apartments.com,Champaign,3,499.5,0,0,0,0,1,1,1,0,0,2.587189221,2.401843236,2.571773037,1.862408637,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 2510 Covington Dr, Champaign,IL 61822 – Champaign   ",40.1239074,-88.2879675,"1,400",3,Today,1400,1400,3,3,1400,Apartments.com,Champaign,2,466.6666667,0,0,1,0,0,1,1,1,0,3.376212679,3.187739937,3.346898518,1.91211769,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 1320 Myrtle Beach Ave, Champaign,IL 61822 – Champaign   ",40.1298558,-88.3064397,"1,790",3,Today,1790,1790,3,3,1790,Apartments.com,Champaign,2,596.6666667,0,1,1,0,1,1,1,1,1,4.434779732,4.246049365,4.399439017,2.39009211,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 802 Sedgegrass Dr, Champaign,IL 61822 – Champaign   ",40.1244238,-88.3062538,"1,790",3,Today,1790,1790,3,3,1790,Apartments.com,Champaign,4,596.6666667,1,0,1,1,1,1,0,0,1,4.285883054,4.116048358,4.292870796,2.028887609,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 610 English Creek Ct, Champaign,IL 61821 – Champaign   ",40.1096179,-88.2940579,800,2,Today,800,800,2,2,800,Apartments.com,Champaign,5,400,1,1,0,1,1,1,0,0,1,3.418628597,3.30830925,3.546014693,0.8986406138,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 752 Sedgegrass Dr, Champaign,IL 61822 – Champaign   ",40.1238232,-88.3061635,"1,790",3,Today,1790,1790,3,3,1790,Apartments.com,Champaign,4,596.6666667,1,1,1,0,1,1,1,1,0,4.267645167,4.099985058,4.279342627,1.988073096,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 107 S Draper Ave, Champaign,IL 61821 – Champaign   ",40.1156595,-88.2705352,975,2,Today,975,975,2,2,975,Apartments.com,Champaign,3,487.5,1,0,0,1,0,1,1,0,0,2.305705255,2.135273836,2.325835244,1.805870154,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 401 E Washington St, Champaign,IL 61820 – Downtown Champaign   ",40.1198571,-88.2335447,850,3,Today,850,850,3,3,850,Apartments.com,Champaign,4,283.3333333,0,1,0,0,1,1,0,1,0,1.13946652,0.8500408749,0.7132148143,3.57268235,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 110 E Park St, Champaign,IL 61820 – Midtown Champaign   ",40.1175383,-88.2378168,"1,325",4,Today,1325,1325,4,4,1325,Apartments.com,Champaign,2,331.25,1,0,0,1,0,1,0,0,1,1.050494048,0.7600294203,0.7365219963,3.299304651,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 1320 Frederick St, Champaign,IL 61820 – Downtown Champaign   ",40.1001282,-88.2452862,590,1,Today,590,590,1,1,590,Apartments.com,Champaign,3,590,0,1,0,1,1,1,1,1,1,0.8507017047,0.8948160567,1.218402739,2.582666586,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 503 E Springfield Ave, Champaign,IL 61820 – Campustown IL   ",40.1125237,-88.2316081,"1,210",2,Today,1210,1210,2,2,1210,Apartments.com,Champaign,4,605,1,0,1,1,1,1,1,0,0,0.6228851009,0.3365380644,0.2711299666,3.472470582,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 305 Birch St, Champaign,IL 61820 – Downtown Champaign   ",40.0995322,-88.2473091,670,1,Today,670,670,1,1,670,Apartments.com,Champaign,3,670,0,1,1,1,0,1,0,1,0,0.964941902,1.006160864,1.328731145,2.472555479,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 503 E Springfield Ave, Champaign,IL 61820 – Campustown IL   ",40.1125237,-88.2316081,870,1,Today,870,870,1,1,870,Apartments.com,Champaign,4,870,0,0,1,0,0,1,1,0,1,0.6228851009,0.3365380644,0.2711299666,3.472470582,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 1320 Frederick St, Champaign,IL 61820 – Downtown Champaign   ",40.1001282,-88.2452862,665,1,Today,665,665,1,1,665,Apartments.com,Champaign,2,665,0,0,0,1,0,1,1,0,0,0.8507017047,0.8948160567,1.218402739,2.582666586,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 3842 Balmoral Dr, Champaign,IL 61822 – Champaign   ",40.106677,-88.308749,"1,225",3,1 Day Ago,1225,1225,3,3,1225,Apartments.com,Champaign,2,408.3333333,1,1,0,1,1,1,0,0,0,4.175175204,4.082518863,4.33099775,1.047183366,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 508 S Mattis Ave, Champaign,IL 61821 – Champaign   ",40.1113506,-88.2760174,650 - 750,1 - 2,1 Day Ago,650,750,1,2,700,Apartments.com,Champaign,3,375,1,0,0,1,1,1,1,0,0,2.497855743,2.365976481,2.591889213,1.390554505,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 810 S Oak St, Champaign,IL 61820 – Downtown Champaign   ",40.1082469,-88.2412127,"995 - 1,200",2 - 3,1 Day Ago,995,1200,2,3,1097.5,Apartments.com,Champaign,2,400,1,1,0,0,1,1,1,1,1,0.6807641432,0.5145685615,0.7735335241,2.899992648,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 122 W Hill St, Champaign,IL 61820 – Downtown Champaign   ",40.1194222,-88.2445133,"1,100 - 1,500",1 - 2,1 Day Ago,1100,1500,1,2,1300,Apartments.com,Champaign,2,750,1,1,1,0,0,1,1,1,0,1.339512671,1.064695495,1.100256852,3.050383835,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 108 E Daniel St, Champaign,IL 61820 – Downtown Champaign   ",40.1081761,-88.2377322,"1,695 - 3,000",2 - 4,1 Day Ago,1695,3000,2,4,2347.5,Apartments.com,Champaign,5,750,1,1,0,0,0,1,0,1,0,0.5226836651,0.3309797019,0.5976285516,3.075877003,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 314 E White St, Champaign,IL 61820 – Midtown Champaign   ",40.1146165,-88.2337573,"1,595 - 2,350",2 - 3,1 Day Ago,1595,2350,2,3,1972.5,Apartments.com,Champaign,2,783.3333333,1,0,1,0,0,1,1,1,0,0.7880687524,0.4955808237,0.443368197,3.414858637,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 509 S Elm St, Champaign,IL 61820 – Downtown Champaign   ",40.110706,-88.2502937,"1,350 - 1,450",2,1 Day Ago,1350,1450,2,2,1400,Apartments.com,Champaign,5,725,0,0,1,0,0,1,1,0,1,1.186576455,1.014957996,1.232375192,2.503527984,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 213 W Green St, Champaign,IL 61820 – Downtown Champaign   ",40.1099351,-88.2465674,"1,095 - 1,450",1 - 2,1 Day Ago,1095,1450,1,2,1272.5,Apartments.com,Champaign,3,725,0,1,0,1,0,1,0,0,0,0.9857967873,0.8113553885,1.037325616,2.667207105,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 501 E University Ave, Champaign,IL 61820 – Downtown Champaign   ",40.1161268,-88.2317983,"1,595 - 2,100",2 - 3,1 Day Ago,1595,2100,2,3,1847.5,Apartments.com,Champaign,4,700,1,1,0,0,1,1,1,0,0,0.8709711503,0.5856512433,0.4454275758,3.549751404,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 106 E Armory Ave, Champaign,IL 61820 – Downtown Champaign   ",40.1056591,-88.2379605,"1,695 - 3,000",2 - 4,1 Day Ago,1695,3000,2,4,2347.5,Apartments.com,Champaign,4,750,1,0,1,1,0,1,0,1,1,0.451568964,0.3678638501,0.68214366,3.02359882,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 505 S 1st St, Champaign,IL 61820 – Midtown Champaign   ",40.1118896,-88.2389678,"1,575 - 2,900",2 - 4,1 Day Ago,1575,2900,2,4,2237.5,Apartments.com,Champaign,3,725,0,0,0,1,1,1,0,0,0,0.7480686488,0.4910474944,0.6379669014,3.090751568,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 208-210 E White St, Champaign,IL 61820 – Midtown Champaign   ",40.1147202,-88.2361446,"1,250 - 1,350",2 - 3,1 Day Ago,1250,1350,2,3,1300,Apartments.com,Champaign,5,450,1,0,0,1,0,1,0,0,1,0.8366945144,0.5463241515,0.5538280183,3.300393269,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 312 E White St, Champaign,IL 61820 – Midtown Champaign   ",40.1146999,-88.2339856,"800 - 1,350",2 - 3,1 Day Ago,800,1350,2,3,1075,Apartments.com,Champaign,4,450,0,1,1,0,0,1,1,0,1,0.7968575386,0.5041761095,0.4565195313,3.405734025,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 204 S 5th St, Champaign,IL 61820 – Downtown Champaign   ",40.1150033,-88.231857,"1,595 - 2,250",2 - 3,1 Day Ago,1595,2250,2,3,1922.5,Apartments.com,Champaign,2,750,0,0,0,1,0,1,0,0,0,0.7943522501,0.5081587051,0.3864199601,3.518130098,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 54 E John St, Champaign,IL 61820 – Campustown IL   ",40.1092637,-88.2395389,"950 - 1,125",Studio - 1,1 Day Ago,950,1125,Studio,1,1037.5,Apartments.com,Champaign,4,1125,1,1,1,0,1,1,1,0,1,0.6441669421,0.438813391,0.6729107263,3.004747549,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 508 S 1st St, Champaign,IL 61820 – Midtown Champaign   ",40.111781,-88.238352,"715 - 1,800",1 - 4,1 Day Ago,715,1800,1,4,1257.5,Apartments.com,Champaign,5,450,1,1,0,1,0,1,0,0,1,0.7216409422,0.4606401177,0.6047967958,3.118831128,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 611 S State St, Champaign,IL 61820 – Downtown Champaign   ",40.109107,-88.247024,"1,145 - 1,395",1 - 2,3 Days Ago,1145,1395,1,2,1270,Apartments.com,Champaign,2,697.5,1,0,1,0,1,1,0,1,0,0.9840188577,0.8261541754,1.066321638,2.625218104,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 503 E Springfield Ave, Champaign,IL 61820 – Campustown IL   ",40.1125237,-88.2316081,"870 - 1,210",1 - 2,4 Days Ago,870,1210,1,2,1040,Apartments.com,Champaign,2,605,1,0,1,1,1,1,0,0,1,0.6228851009,0.3365380644,0.2711299666,3.472470582,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 1406-1521 Lincolnshire Dr, Champaign,IL 61821 – Champaign   ",40.097476,-88.269788,874,2,1 Week Ago,874,874,2,2,874,Apartments.com,Champaign,5,437,1,1,0,0,0,1,1,1,0,2.153067525,2.141893203,2.443877195,1.277646057,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 205 E Green St, Champaign,IL 61820 – Campustown IL   ",40.1099353,-88.2363439,675,1,2 Weeks Ago,675,675,1,1,675,Apartments.com,Champaign,5,675,0,0,0,0,1,1,1,0,0,0.5557895232,0.3003399488,0.4991276828,3.179786464,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 911 S Locust St, Champaign,IL 61820 – Downtown Champaign   ",40.1068805,-88.2406799,740 - 760,1,2 Weeks Ago,740,760,1,1,750,Apartments.com,Champaign,5,760,1,0,0,1,1,1,0,0,0,0.6154926208,0.4877159514,0.7742988376,2.902576359,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 207 S 5th St, Champaign,IL 61820 – Downtown Champaign   ",40.1146568,-88.2323562,"2,290",4,2 Weeks Ago,2290,2290,4,4,2290,Apartments.com,Champaign,3,572.5,0,1,1,1,1,1,0,1,0,0.7747101536,0.48595901,0.3878583251,3.484913731,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 306 E Clark St, Champaign,IL 61820 – Midtown Champaign   ",40.1155915,-88.2347463,"1,320 - 1,650",2 - 3,2 Weeks Ago,1320,1650,2,3,1485,Apartments.com,Champaign,2,550,1,0,1,1,1,1,1,0,1,0.8674015656,0.5745620551,0.5257960611,3.391690348,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 304 E Clark St, Champaign,IL 61820 – Midtown Champaign   ",40.115675,-88.2349746,"1,750",4,2 Weeks Ago,1750,1750,4,4,1750,Apartments.com,Champaign,5,437.5,1,0,0,1,1,1,0,0,1,0.8765636828,0.5837462548,0.538830173,3.382807325,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 1601 Lyndhurst Dr, Savoy,IL 61874 – Savoy   ",40.074577,-88.251669,895,2,Today,895,895,2,2,895,Apartments.com,Champaign,4,447.5,1,0,1,0,0,1,1,0,1,2.314015734,2.52168499,2.825256235,2.703709754,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 2011 Rainbow View, Urbana,IL 61802 – Urbana   ",40.102965,-88.1825075,"1,095",4,Today,1095,1095,4,4,1095,Apartments.com,Urbana,3,273.75,0,1,1,1,0,1,1,0,1,2.502226026,2.609651226,2.412018599,5.905458983,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 712 S Wabash Ave, Urbana,IL 61801 – Urbana   ",40.1067021,-88.1964059,685,2,Today,685,685,2,2,685,Apartments.com,Urbana,4,342.5,0,1,0,1,1,1,1,1,0,1.780132104,1.856084838,1.640426942,5.201360224,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 1109 Austin Dr, Urbana,IL 61802 – Urbana   ",40.102927,-88.1877628,895,3,Today,895,895,3,3,895,Apartments.com,Urbana,2,298.3333333,1,0,0,1,0,1,1,0,1,2.224592996,2.334691438,2.143041646,5.628310993,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 305 Glenn, Urbana,IL 61801 – Urbana   ",40.1097776,-88.1755757,895,3,Today,895,895,3,3,895,Apartments.com,Urbana,5,298.3333333,1,0,1,1,0,1,1,1,1,2.899511793,2.959286712,2.717008664,6.32096434,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 416 Spring Cir, Urbana,IL 61802 – Urbana   ",40.1282643,-88.1941552,995,3,Today,995,995,3,3,995,Apartments.com,Urbana,2,331.6666667,1,1,1,1,1,1,0,1,0,2.541353028,2.433698342,2.110910673,5.708112753,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 709 W Illinois St, Urbana,IL 61801 – Urbana   ",40.1088658,-88.2170999,"2,600",6,Today,2600,2600,6,6,2600,Apartments.com,Urbana,4,433.3333333,0,1,0,1,0,1,0,0,0,0.765278794,0.7659067804,0.5392837523,4.148004466,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 1504 Lincolnwood Dr, Urbana,IL 61802 – Urbana   ",40.1005284,-88.1853256,"1,030",3,Today,1030,1030,3,3,1030,Apartments.com,Urbana,5,343.3333333,1,1,0,0,1,1,1,1,1,2.362551081,2.489738904,2.313407766,5.746658907,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 701 E Tomaras Ave, Savoy,IL 61874 – Savoy   ",40.0598093,-88.239855,"1,850",4,Today,1850,1850,4,4,1850,Apartments.com,Champaign,3,462.5,1,0,0,1,1,1,0,1,0,3.072265394,3.335089576,3.591132972,3.826316521,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 1002 N Busey Ave, Urbana,IL 61801 – Urbana   ",40.1210565,-88.2167315,"1,110",4,Today,1110,1110,4,4,1110,Apartments.com,Urbana,5,277.5,0,1,0,1,1,1,0,1,0,1.390475238,1.211239051,0.8894168252,4.415564916,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 1613 E Washington St, Urbana,IL 61802 – Urbana   ",40.1054768,-88.1870773,950,3,Today,950,950,3,3,950,Apartments.com,Urbana,3,316.6666667,1,1,0,0,0,1,1,0,1,2.263955902,2.352732646,2.140624901,5.680613973,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 804 N Lincoln Ave, Urbana,IL 61801 – Urbana   ",40.1194553,-88.2191214,"1,200",3,Today,1200,1200,3,3,1200,Apartments.com,Urbana,3,400,1,1,1,0,0,1,0,0,1,1.232820833,1.045566352,0.7255336082,4.256942636,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 808 W Illinois St, Urbana,IL 61801 – Urbana   ",40.109466,-88.2186457,"1,176",2,Today,1176,1176,2,2,1176,Apartments.com,Urbana,2,588,0,0,1,1,0,1,0,1,0,0.7170104493,0.6910631196,0.4501808996,4.076879367,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 808 W Illinois St, Urbana,IL 61801 – Urbana   ",40.109466,-88.2186457,"1,497",3,Today,1497,1497,3,3,1497,Apartments.com,Urbana,5,499,0,0,0,1,0,1,0,0,0,0.7170104493,0.6910631196,0.4501808996,4.076879367,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 808 W Illinois St, Urbana,IL 61801 – Urbana   ",40.109466,-88.2186457,"1,198",2,Today,1198,1198,2,2,1198,Apartments.com,Urbana,4,599,1,0,1,0,1,1,1,1,1,0.7170104493,0.6910631196,0.4501808996,4.076879367,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 112 Scottswood Dr, Urbana,IL 61802 – Urbana   ",40.1118798,-88.174433,"1,100",3,Today,1100,1100,3,3,1100,Apartments.com,Urbana,4,366.6666667,1,1,0,1,0,1,0,0,1,2.983593502,3.030087567,2.777284768,6.402957279,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 2414 E Nevada St, Urbana,IL 61802 – Urbana   ",40.1066882,-88.1750044,"1,164",3,Today,1164,1164,3,3,1164,Apartments.com,Urbana,2,388,0,1,1,0,0,1,0,0,0,2.906075046,2.986648535,2.761214782,6.323941346,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 802 Scottswood Dr, Urbana,IL 61802 – Urbana   ",40.1063418,-88.1733284,"1,164",3,Today,1164,1164,3,3,1164,Apartments.com,Urbana,4,388,0,0,1,1,1,1,0,1,0,2.992819787,3.075816993,2.851834693,6.409449009,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 304 S Busey Ave, Urbana,IL 61801 – Urbana   ",40.109951,-88.217401,"2,000",4,Today,2000,2000,4,4,2000,Apartments.com,Urbana,5,500,0,1,1,0,1,1,0,0,0,0.7902792372,0.7621104225,0.5095403622,4.148407638,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 1004 S Lincoln Ave, Urbana,IL 61801 – Urbana   ",40.1041278,-88.2188624,"6,500",9,Today,6500,6500,9,9,6500,Apartments.com,Urbana,4,722.2222222,1,1,0,1,0,1,0,1,0,0.5816061454,0.7112202409,0.6315410503,4.001508402,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 1612 Trails Dr, Urbana,IL 61802 – Urbana   ",40.0777793,-88.1866965,"1,075",3,Today,1075,1075,3,3,1075,Apartments.com,Urbana,3,358.3333333,0,1,1,1,1,1,1,1,0,2.896145206,3.141747997,3.122545733,5.816206558,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 1903 N Lincoln Ave, Urbana,IL 61801 – Urbana   ",40.1298088,-88.2207395,625,2,Today,625,625,2,2,625,Apartments.com,Urbana,2,312.5,0,1,0,1,0,1,1,0,1,1.873058894,1.633084591,1.351326775,4.496706937,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 1 S Coler Ave, Urbana,IL 61801 – Urbana   ",40.11224,-88.216067,595,2,Today,595,595,2,2,595,Apartments.com,Urbana,4,297.5,0,1,0,1,0,1,1,0,1,0.9411835934,0.8752579381,0.584353884,4.254472474,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 707 W Springfield Ave, Urbana,IL 61801 – Urbana   ",40.1126199,-88.2169598,"2,095",5,Today,2095,2095,5,5,2095,Apartments.com,Urbana,2,419,1,1,1,1,1,1,1,1,0,0.9226753784,0.8418074081,0.543213233,4.215651218,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
" 712 W High St, Urbana,IL 61801 – Urbana   ",40.1099652,-88.2173213,"1,650",4,Today,1650,1650,4,4,1650,Apartments.com,Urbana,4,412.5,0,0,0,1,1,1,0,1,0,0.7943298814,0.7664340572,0.5136049124,4.152732001,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
